start,end,segment_name
0.000,2.000,Seg#1_Repetitie_0
0.000,3.000,Seg#2_Repetitie_5
0.000,3.000,Seg#3_Repetitie_6
0.000,2.000,Seg#4_Repetitie_13
0.000,3.500,Seg#5_Repetitie_14
0.000,1.000,Seg#6_Repetitie_16
0.000,1.000,Seg#7_Repetitie_19
0.500,4.000,Seg#8_Repetitie_4
0.500,3.000,Seg#9_Repetitie_7
0.500,1.500,Seg#10_Repetitie_8
0.500,2.500,Seg#11_Repetitie_10
0.500,2.000,Seg#12_Repetitie_18
0.500,2.000,Seg#13_Repetitie_21
1.000,3.000,Seg#14_Repetitie_1
1.000,2.000,Seg#15_Repetitie_2
1.000,4.000,Seg#16_Repetitie_3
1.000,4.000,Seg#17_Repetitie_12
1.000,4.000,Seg#18_Repetitie_17
1.000,2.000,Seg#19_Repetitie_20
1.500,3.000,Seg#20_Repetitie_9
2.000,3.000,Seg#21_Repetitie_15
2.500,4.000,Seg#22_Repetitie_11
